"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","NAT_SOURCE_IND","ID_IND","COUNTRY_CODE","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DPT_IND","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","HGT_IND","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","OB_PLATFORM","FM_CODE_VER","STA_WX_IND","PAST_WX2","IND_FOR_WAVE_MEAS","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","THICKNESS_OF_I","RATE_OF_I","CONCEN_OF_SEA_ICE","STAGE_OF_DEVELP","ICE_OF_LAND_ORIGIN","TRUE_BEARING_ICE_EDGE","ICE_SIT_TREND","IND_FOR_PRECIP","QC_IND","QC_IND_FOR_FIELDS","MQCS_VER","SHIP_HEADING","COURSE_OVER_GROUND","SPD_OVER_GROUND","MAX_HT_SUM_LOAD","DEP_LOAD_IN","REL_WIND_DIR","REL_WIND_SPD"
"22934","2014-05-01T18:01:00","-2.24","116.77",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"309",,,,,,,,,,,,,"333","26","714","63","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,,,,,,,,,,,,,
"22934","2014-05-01T19:01:00","-2.23","116.77",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"308",,,,,,,,,,,,,"333","26","714","63","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,,,,,,,,,,,,,
"22934","2014-05-01T21:01:00","-2.21","116.76",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"307",,,,,,,,,,,,,"333","26","714","63","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,,,,,,,,,,,,,
"A8UT6","2014-05-01T22:00:00","-2.20","118.70",,,"1","6","0","0","8","3",,"1",,"0","80","4","36",,"98","2","1","10110","4","0","0","260","0","240",,"231","3","300","4",,"7",,"3","4","A","2","0","0",,,"333","28","992","114","5","1","2","1","111111","11111111111131",,,,,"1","1",,"0",,,,,,,,,,"4",,,,,,,,,,
"22934","2014-05-01T22:01:00","-2.20","116.76",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"307",,,,,,,,,,,,,"333","26","714","63","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,,,,,,,,,,,,,
"A8OO9","2014-05-01T23:00:00","-3.90","118.10",,,"1","6","0","0","1","4",,"1","DE","0","160","4","36","0","97",,,"10090","0",,"0","300","0","250","1","227","3","290","5","5","4","0","6","6","8","0","0",,,,"333","38","926","112","5","0",,"2","111112","111AA1111111A7",,"4","1",,"1",,"0",,,,,,,,,,,"4","6","11111111911199191111","7",,,,,,,
"22934","2014-05-01T23:01:00","-2.19","116.75",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"306",,,,,,,,,,,,,"333","26","714","63","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,,,,,,,,,,,,,
"MDGV9","2014-05-02T00:00:00","-5.40","114.80",,,"1","6","0","0","2","3","1","1",,"0","250","3","36",,"97","2","2","10118","3","3","0","300","0","260",,"243",,,"6","5","2",,"5","6","1","3","1",,,,"333","54","992","114","5","1","2","2","F11111","111111111A11A1",,,,,"1","2",,,,,,,,,,,,"4",,,,,,,,,,
"22934","2014-05-02T00:01:00","-2.18","116.75",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"306",,,,,,,,,,,,,"333","26","714","63","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,,,,,,,,,,,,,
"22934","2014-05-02T01:01:00","-2.16","116.75",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"303",,,,,,,,,,,,,"333","26","714","63","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,,,,,,,,,,,,,
"22934","2014-05-02T02:01:00","-2.15","116.76",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"300",,,,,,,,,,,,,"333","26","714","63","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,,,,,,,,,,,,,
"22934","2014-05-02T03:01:00","-2.14","116.76",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"303",,,,,,,,,,,,,"333","26","714","63","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,,,,,,,,,,,,,
"9V9131","2014-05-02T04:00:00","-7.70","116.40",,,"1","5","0","0",,,,"1",,"0","90","4","51",,,,,"10140","1",,"3","310","0","270",,"260",,,,,,,"A",,,,,,,,"333","76","992","114","5","1","2","2","F11111","11AAA1111A8AA7",,,,,"1",,,,,,,,,,,,,"4",,,,,,,,,,
"22934","2014-05-02T04:01:00","-2.13","116.76",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"333","26","714","63","7","0",,"2","FFFFFF","1AAAAAAAAAAAAA","4",,,,,,,,,,,,,,,,,,,,,,,,,,,
"22934","2014-05-02T05:01:00","-2.12","116.76",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"333","26","714","63","7","0",,"2","FFFFFF","1AAAAAAAAAAAAA","4",,,,,,,,,,,,,,,,,,,,,,,,,,,
"9HA3569","2014-05-02T06:00:00","-7.90","116.80",,,"1","6","0","0","7","3",,"1",,"0","90","3","36",,"98","2","2","10115","0","10","0","295","0","260",,"248",,,"6","2","4",,"6","4","8","2","0",,,,"333","76","992","114","5","1","2","2","F11111","111111111A11A1",,,,,"1","2",,,,,,,,,,,,"4",,,,,,,,,,
"A8SO8","2014-05-02T06:00:00","-4.50","110.50",,,"1","6","0","0","6","2",,"1",,"0","80","4","36",,"98","3",,"10095","7","15","0",,"0","290",,"278",,,"6","4","7",,"4","4","5",,,,,,"333","40","992","114","5","1","2","2","F71111","1111A1111A1AA1",,,,,"1",,,,,,,,,,,,,"4",,,,,,,,,,
"A8UT6","2014-05-02T06:00:00","-0.40","119.20",,,"1","6","0","0","1","3",,"1",,"0","230","4","31",,"97","2","2","10090",,,"0","300","0","260",,"243","3","300","5","5","4",,"5","6","4","15","1",,,,"333","9","992","114","5","1","2","2","111111","111111111113AA",,,,,"1","2",,,,,,,,,,,,"4",,,,,,,,,,
"MDGV9","2014-05-02T06:00:00","-5.50","116.10",,,"1","6","0","0","3","3","1","1",,"0","90","3","31",,"98","2","2","10101","4","0","0","315","0","260",,"236",,,"4","4","4",,"3","0","0",,,,,,"333","56","992","114","5","1","2","2","F31112","111111111A1AA1",,,,,"1","2",,,,,,,,,,,,"4",,,,,,,,,,
"22934","2014-05-02T06:01:00","-2.11","116.76",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"333","26","714","63","7","0",,"2","FFFFFF","1AAAAAAAAAAAAA","4",,,,,,,,,,,,,,,,,,,,,,,,,,,
"22934","2014-05-02T07:01:00","-2.10","116.76",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"333","26","714","63","7","0",,"2","FFFFFF","1AAAAAAAAAAAAA","4",,,,,,,,,,,,,,,,,,,,,,,,,,,
"22934","2014-05-02T08:01:00","-2.09","116.75",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"333","26","714","63","7","0",,"2","FFFFFF","1AAAAAAAAAAAAA","4",,,,,,,,,,,,,,,,,,,,,,,,,,,
"22934","2014-05-02T09:01:00","-2.07","116.75",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"333","26","714","63","7","0",,"2","FFFFFF","1AAAAAAAAAAAAA","4",,,,,,,,,,,,,,,,,,,,,,,,,,,
"22934","2014-05-02T10:01:00","-2.06","116.74",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"333","26","714","63","7","0",,"2","FFFFFF","1AAAAAAAAAAAAA","4",,,,,,,,,,,,,,,,,,,,,,,,,,,
"9V9131","2014-05-02T11:00:00","-6.90","116.70",,,"1","6","0","0","1","2",,"1",,"0","90","4","67",,,,,"10140","4","0","3","310","0",,,,"1","280","3",,"8",,"8","A","A",,,,,,"333","66","992","114","5","1","2","1","111116","11AAA111111AA1",,,,,"1",,,,,,,,,,,,,"4",,,,,,,,,,
"A8OO9","2014-05-02T11:00:00","-1.00","119.00",,,"1","6","0","0","8","4",,"1","DE","0","190","4","41","0","97",,,"10100","0",,"0","310","0","270","1","254","3","280","5","5","4","0","6","6","8","0","0",,,,"333","19","926","112","5","0",,"1","111111","111AA1111111A7",,"4","1",,"1",,"0",,,,,,,,,,,"4","6","11111111911199191111","7",,,,,,,
"22934","2014-05-02T11:01:00","-2.04","116.74",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"333","26","714","63","7","0",,"1","FFFFFF","1AAAAAAAAAAAAA","4",,,,,,,,,,,,,,,,,,,,,,,,,,,
"22934","2014-05-02T12:01:00","-2.02","116.73",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"333","26","714","63","7","0",,"1","FFFFFF","1AAAAAAAAAAAAA","4",,,,,,,,,,,,,,,,,,,,,,,,,,,
"MDGV9","2014-05-02T13:00:00","-4.80","117.50",,,"1","6","0","0","1","3","1","1",,"0","80","4","26",,"97","13","6","10111","0","3","0","300","0","260",,"243",,,"4","3","6",,"5","7","A","4","1","0",,,"333","47","992","114","5","1","2","1","F11111","111111111A1131",,,,,"1","2",,"0",,,,,,,,,,"4",,,,,,,,,,
"22934","2014-05-02T13:01:00","-2.01","116.74",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"311",,,,,,,,,,,,,"333","26","714","63","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,,,,,,,,,,,,,
"22934","2014-05-02T14:01:00","-1.99","116.74",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"310",,,,,,,,,,,,,"333","16","714","63","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,,,,,,,,,,,,,
"22934","2014-05-02T15:01:00","-1.98","116.74",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"308",,,,,,,,,,,,,"333","16","714","63","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,,,,,,,,,,,,,
